stage,hematopoietic_system,intermediate_mesoderm,paraxial_mesoderm
24hpf,0,0,1
2dpf,0,0,1.67
3dpf,0,0,0.57
5dpf,0.52,0,2.07
10dpf,0.63,0.63,0
