stage,central_nervous_system,hematopoietic_system,intermediate_mesoderm,mesenchyme,notochord,periderm
24hpf,0,0,0,0,0,1
2dpf,0,0,0.83,0.83,0.83,0
3dpf,5.75,0,0,1.15,0,0
5dpf,2.58,0.52,0.52,0.52,0.52,0.52
10dpf,3.14,0,0,0,0,0
