stage,central_nervous_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,periderm
2dpf,0,0,1.67,0.83,0,0,0
3dpf,2.87,0,0,4.6,0.57,0,0
5dpf,1.55,1.03,0.52,5.69,0,0.52,1.55
10dpf,3.77,0.63,0,5.65,0,0,0
