stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
10hpf,10.32,0,0,0,0,0,0,0,0
12hpf,17.35,0,0,0,0,0,0,0,0
14hpf,36.78,0,0,3.34,0,0,0,3.34,0
16hpf,63.58,0,0,14.36,0,0,0,0,0
19hpf,100.7,0,0,35.03,0,0,0,0,4.38
24hpf,47,0,0,0,0,0,0,0,1
2dpf,154.3,0,1.67,20.02,1.67,1.67,0,0,0.83
3dpf,77.58,0.57,0.57,6.9,0.57,2.3,0.57,1.72,0.57
5dpf,66.67,0.52,0,13.44,0.52,2.07,0.52,0.52,2.58
10dpf,37.02,0,0,10.04,0,0.63,0,0,0
