stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
19hpf,2.19,0,0,0,0,0,0,0,0
2dpf,13.35,0.83,0,0.83,2.5,0,0,0,3.34
3dpf,9.77,0,0,0,1.72,0.57,0,0,0
5dpf,9.82,0.52,1.03,1.55,2.58,0,0.52,0.52,4.65
10dpf,8.16,0,0.63,0,1.26,0,0,0.63,0
