stage,central_nervous_system,hematopoietic_system,mesenchyme,notochord,paraxial_mesoderm,periderm
2dpf,1.67,0,2.5,1.67,0.83,6.67
3dpf,10.92,0,2.3,0,0,0
5dpf,0.52,0,2.07,0.52,1.03,0.52
10dpf,4.39,1.26,1.26,0,0,0.63
