stage,central_nervous_system,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest
3dpf,0.57,0,0,0,0,0.57
5dpf,0,4.65,2.07,0.52,2.58,0
10dpf,0,7.53,0,0,0,0
