stage,endoderm,hematopoietic_system,intermediate_mesoderm,mesenchyme
2dpf,0,5.84,0,0
3dpf,0,1.72,0,0
5dpf,0,13.95,0,0
10dpf,0.63,5.02,0.63,0.63
