stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,mesenchyme,paraxial_mesoderm
24hpf,2,0,0,0,0,1
2dpf,4.17,0,0,0,0.83,0
3dpf,24.71,0,0,0.57,0.57,0
5dpf,2.58,1.03,0.52,2.58,3.62,0.52
10dpf,17.57,3.14,0,1.26,0,0
