stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,51.61,0,0,0,0,10.32,0,10.32,0,30.97
12hpf,77.11,11.57,1.93,9.64,23.13,1.93,0,13.49,17.35,26.99
14hpf,30.09,0,3.34,3.34,10.03,3.34,0,0,3.34,3.34
16hpf,24.61,4.1,4.1,4.1,10.25,2.05,0,0,4.1,24.61
19hpf,10.95,0,0,2.19,2.19,0,0,2.19,0,6.57
24hpf,20,0,0,3,13,3,2,2,1,4
2dpf,89.25,0,10.84,15.85,64.22,102.59,16.68,1.67,30.86,72.56
3dpf,173.54,5.75,8.05,10.92,8.62,138.49,3.45,0,8.05,31.61
5dpf,27.39,5.69,20.16,26.36,9.82,86.83,6.2,2.07,16.02,139.54
10dpf,80.32,12.55,22.59,11.3,7.53,75.3,10.04,0,7.53,33.26
