stage,central_nervous_system,endoderm,lateral_mesoderm,mesenchyme,periderm
2dpf,0.83,0,0,0,0.83
3dpf,0,0,0,1.15,1.15
5dpf,0,0,0.52,0.52,3.62
10dpf,0,2.51,0,0,6.28
