stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,neural_crest,periderm
2dpf,1.67,0,0,0,0,0,9.17
3dpf,1.72,1.72,0,0,0.57,0.57,4.02
5dpf,0.52,0.52,1.03,1.55,0,0,21.19
10dpf,1.26,2.51,0,0,0,0,5.65
