stage,central_nervous_system,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,periderm
2dpf,3.34,0,0,0.83,2.5,0,0,0.83
3dpf,6.32,0,1.72,0.57,13.22,0.57,0,1.15
5dpf,0.52,0,0.52,2.07,8.79,0,0.52,2.07
10dpf,3.77,0.63,1.88,0.63,8.16,1.26,0,0.63
