stage,central_nervous_system,hematopoietic_system,mesenchyme,neural_crest,paraxial_mesoderm,periderm
24hpf,0,0,0,0,0,1
2dpf,2.5,0,0.83,0,0.83,0.83
3dpf,0,0,1.72,0,0,0.57
5dpf,1.55,7.24,2.07,0,1.03,11.37
10dpf,0.63,0,0,0.63,0.63,1.26
