stage,central_nervous_system,endoderm,lateral_mesoderm,mesenchyme,notochord,paraxial_mesoderm,periderm
19hpf,0,4.38,0,0,0,0,0
24hpf,1,1,0,0,0,0,0
2dpf,9.17,0,1.67,2.5,0.83,1.67,0
3dpf,70.11,0,0,3.45,0,0,0.57
5dpf,7.24,0.52,0,3.62,0,0,0.52
10dpf,18.83,0,0,2.51,0,0,0
