stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,5357.61,72.26,30.97,0,763.9,72.26,0,113.55,1300.69,1434.89
12hpf,4385.63,98.32,34.7,94.46,867.49,152.29,9.64,140.73,1029.42,1145.08
14hpf,4096.23,40.13,133.75,133.75,608.58,310.98,70.22,40.13,588.52,1003.16
16hpf,3322.32,104.59,153.81,127.15,723.94,367.1,77.93,79.98,637.8,1099.24
19hpf,6742.69,43.78,89.76,151.05,656.76,286.78,186.08,39.41,359.03,1260.97
24hpf,3967,49,235,121,627,270,168,7,561,503
2dpf,1928.38,47.54,166.82,261.07,876.61,1398.75,204.35,29.19,472.92,748.17
3dpf,4201.23,70.11,88.5,98.84,91.37,1044.13,47.7,0.57,110.91,290.2
5dpf,509.59,64.09,287.87,249.63,119.39,1127.2,87.34,62.02,271.34,1113.77
10dpf,1386.22,105.43,248.5,204.58,79.07,1054.26,73.42,1.88,203.32,250.39
