stage,central_nervous_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,periderm
2dpf,6.67,0.83,0.83,5.84,5
3dpf,0.57,0,0,0,0
5dpf,0.52,0,0,0,0
