stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
10hpf,10.32,0,0,0,0,0,0,0,0
12hpf,15.42,0,0,0,0,0,0,0,0
14hpf,53.5,0,6.69,13.38,0,3.34,0,0,3.34
16hpf,61.52,0,2.05,30.76,4.1,0,4.1,0,4.1
19hpf,87.57,0,0,21.89,6.57,0,0,0,2.19
24hpf,25,0,0,0,1,1,0,1,0
2dpf,213.52,1.67,0,10.84,15.01,14.18,0,5.84,5.84
3dpf,95.97,0.57,0,8.62,1.15,9.19,0,2.3,1.15
5dpf,82.69,1.03,0,7.24,0.52,8.79,0,0,3.1
10dpf,21.96,0,0.63,7.53,0,2.51,0,1.26,1.26
