stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,paraxial_mesoderm,periderm
24hpf,0,0,0,0,0,6,0
2dpf,1.67,0,0.83,0,0.83,7.51,0
3dpf,1.72,0,0,0,0,0.57,0
5dpf,0,0,0,0.52,0,2.58,0.52
10dpf,0.63,0.63,0,0,0,1.26,0
