stage,central_nervous_system,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm
2dpf,4.17,0.83,2.5,2.5,0,0,2.5,1.67
3dpf,27.01,0,0,1.72,21.26,0,0,0
5dpf,0.52,0,0.52,0.52,4.13,0.52,2.07,0.52
10dpf,3.14,1.26,1.26,3.77,13.81,0,0,1.26
