stage,central_nervous_system,endoderm,hematopoietic_system,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm
2dpf,4.17,0,0.83,0,1.67,1.67,1.67
3dpf,1.72,0.57,0,0,0,0,0
5dpf,0,0,0.52,1.03,1.03,0.52,2.07
10dpf,5.65,0,0,0.63,1.26,0.63,0.63
