stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,10.32,0,0,0,0,0,0,0,0,10.32
12hpf,13.49,1.93,3.86,0,15.42,3.86,0,17.35,17.35,44.34
14hpf,23.41,0,6.69,0,0,3.34,3.34,10.03,3.34,23.41
16hpf,32.81,4.1,10.25,2.05,14.36,4.1,0,4.1,10.25,26.66
19hpf,21.89,0,4.38,0,0,2.19,0,0,2.19,10.95
24hpf,34,2,4,9,18,9,6,0,9,37
2dpf,96.75,7.51,16.68,37.53,85.91,177.66,20.85,5,61.72,108.43
3dpf,259.16,15.52,13.79,23.56,27.58,210.32,8.62,0,18.39,55.17
5dpf,47.03,16.02,39.8,44.96,17.57,180.89,28.94,14.47,46,199.5
10dpf,189.51,33.89,52.71,60.87,26.98,343.89,23.22,1.26,46.44,62.13
