stage,central_nervous_system,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme
2dpf,0,0.83,0,0,0
3dpf,0,0.57,0,0,0
5dpf,0.52,9.3,0.52,0.52,1.03
10dpf,0,3.14,0,0,0.63
