stage,central_nervous_system,endoderm,mesenchyme,neural_crest,periderm
2dpf,2.5,0,2.5,0,0
3dpf,18.39,1.15,4.02,0,0
5dpf,0,0.52,7.75,0.52,0.52
10dpf,5.02,3.14,0.63,1.26,0
