stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,51.61,0,0,0,0,0,0,0,10.32,123.88
12hpf,106.03,13.49,3.86,1.93,15.42,3.86,1.93,13.49,77.11,146.51
14hpf,247.45,6.69,3.34,16.72,60.19,26.75,10.03,3.34,100.32,220.69
16hpf,239.95,12.3,20.51,20.51,94.34,26.66,6.15,14.36,106.64,198.93
19hpf,1685.67,24.08,24.08,56.92,190.46,59.11,26.27,17.51,142.3,466.3
24hpf,491,13,58,53,198,106,29,4,241,180
2dpf,6.67,0,0,1.67,1.67,2.5,0.83,0,0.83,25.02
3dpf,4.6,0,0,0,0,1.15,0,0,0,8.62
5dpf,0.52,0.52,0,0,0,1.03,0,0,0,1.55
10dpf,0.63,0,0,0,0,0,0,0,0,0
