stage,central_nervous_system,intermediate_mesoderm,mesenchyme,notochord
16hpf,0,2.05,0,0
2dpf,0.83,1.67,0,0.83
3dpf,22.41,0,0,0
5dpf,0,0,2.07,0
10dpf,16.94,0,1.26,0
