stage,central_nervous_system,mesenchyme,neural_crest,paraxial_mesoderm
2dpf,0.83,1.67,0,0
3dpf,3.45,3.45,0.57,0.57
5dpf,0,1.55,0,0
10dpf,0.63,1.88,0.63,1.26
