stage,lateral_mesoderm,mesenchyme,paraxial_mesoderm,periderm
16hpf,0,0,2.05,0
2dpf,0.83,1.67,0,20.85
3dpf,0,0,0,4.6
5dpf,0,1.55,0,34.11
10dpf,0,0,0,3.14
