stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,periderm
3dpf,1.15,0.57,0,0,3.45
5dpf,0,1.03,1.03,0.52,2.58
10dpf,1.26,0,0,0,1.26
