stage,hematopoietic_system,lateral_mesoderm,mesenchyme,periderm
24hpf,1,0,0,0
2dpf,15.01,0,0.83,0.83
3dpf,4.02,0,0,0
5dpf,10.85,0.52,0.52,0
10dpf,4.39,0,0,0
