stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,1631.02,30.97,0,0,258.07,10.32,0,92.91,443.89,474.86
12hpf,2026.07,73.25,0,59.76,528.2,131.09,5.78,192.78,1058.33,616.88
14hpf,1016.53,23.41,53.5,76.91,224.04,177.22,13.38,40.13,535.02,404.61
16hpf,1275.61,88.19,168.17,127.15,502.45,221.49,73.83,61.52,955.68,609.09
19hpf,1652.83,13.14,39.41,63.49,181.7,96.32,67.86,30.65,262.7,402.81
24hpf,1041,15,106,40,191,124,62,11,640,148
2dpf,674.77,10.01,53.38,61.72,231.04,431.22,59.22,10.01,172.65,175.99
3dpf,2750.25,45.97,39.08,46.55,43.67,642.45,28.73,0.57,63.21,100.56
5dpf,225.85,32.04,117.84,80.11,46.51,513.73,54.27,25.84,131.27,328.19
10dpf,1144.62,51.46,138.68,102.29,37.02,517.71,32.63,1.88,87.23,90.99
