stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
10hpf,0,0,0,0,0,0,0,0,92.91
12hpf,0,0,0,0,0,0,0,0,5.78
14hpf,0,0,0,0,0,0,0,0,264.17
16hpf,0,0,0,0,0,0,0,0,34.86
19hpf,2.19,0,0,0,0,0,0,0,363.4
24hpf,1,0,0,0,0,0,0,1,43
2dpf,24.19,5,0.83,2.5,1.67,4.17,1.67,1.67,307.77
3dpf,16.09,14.94,0,1.15,0,1.15,0,0,160.33
5dpf,24.29,7.24,1.55,0,0.52,7.24,3.62,2.07,334.91
10dpf,13.18,8.16,1.88,0,0,0.63,8.79,0,131.15
