stage,central_nervous_system,intermediate_mesoderm,mesenchyme,periderm
2dpf,1.67,0,0,0
3dpf,4.02,0.57,0,0.57
5dpf,2.58,0,0,0.52
10dpf,0.63,1.26,0.63,0
