stage,central_nervous_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,notochord,periderm
10hpf,10.32,0,0,0,0,0
24hpf,1,0,0,0,0,0
2dpf,46.71,0,0,1.67,0.83,1.67
3dpf,12.64,1.15,0,2.87,0,1.15
5dpf,11.37,1.55,0.52,0,0,2.07
10dpf,5.02,1.26,0,1.26,0,0
