stage,central_nervous_system,endoderm,hematopoietic_system,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,0,0,0,0,0,0,113.55,0,0
12hpf,0,1.93,0,0,1.93,0,260.25,1.93,1.93
14hpf,0,0,0,0,0,0,107,0,3.34
16hpf,8.2,0,0,0,0,0,159.96,0,2.05
19hpf,17.51,0,0,0,0,0,48.16,0,0
24hpf,14,0,0,0,0,0,29,3,0
2dpf,6.67,0,0,2.5,92.58,0.83,2.5,0.83,2.5
3dpf,1.15,0,0,0,173.54,0,0,0.57,1.72
5dpf,1.03,0.52,0,0,237.74,0,0.52,0,2.58
10dpf,2.51,0,0.63,0,52.09,0,0,0,0
