stage,central_nervous_system,endoderm,intermediate_mesoderm,mesenchyme
24hpf,1,0,0,0
2dpf,6.67,0,0,0.83
3dpf,12.64,0,0,0
5dpf,0,0,0,1.55
10dpf,1.26,0.63,0.63,0.63
