stage,endoderm,hematopoietic_system,intermediate_mesoderm,mesenchyme,periderm
2dpf,0,0,1.67,0.83,6.67
3dpf,0,0.57,0,1.15,12.07
5dpf,0,2.07,0,2.07,27.39
10dpf,0.63,3.77,0,0,5.02
