stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,381.95,0,20.65,0,92.91,20.65,0,10.32,268.4,61.94
12hpf,1012.07,17.35,30.84,53.98,343.14,53.98,0,26.99,942.67,289.16
14hpf,889.47,6.69,130.41,80.25,394.58,160.51,46.81,16.72,822.59,254.13
16hpf,1138.2,26.66,198.93,127.15,516.81,213.29,51.27,20.51,842.89,408.11
19hpf,1107.73,6.57,52.54,39.41,214.54,74.43,83.19,15.32,280.22,164.19
24hpf,1006,19,115,44,248,105,95,4,841,135
2dpf,643.91,39.2,40.87,73.4,243.55,465.41,84.24,5.84,241.88,178.49
3dpf,1729.68,48.27,13.79,43.67,36.78,368.35,21.26,0,56.32,71.26
5dpf,207.25,23.26,75.97,102.33,34.63,391.76,43.93,27.39,137.99,297.18
10dpf,520.85,38.91,45.18,72.17,34.51,355.18,17.57,0.63,79.07,56.48
