stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
10hpf,20.65,0,0,0,0,0,0,0,0
12hpf,48.19,0,0,0,0,0,0,3.86,0
14hpf,13.38,0,0,0,0,0,0,0,0
16hpf,79.98,0,0,16.41,0,0,0,4.1,0
19hpf,124.78,0,2.19,26.27,0,0,0,0,2.19
24hpf,136,0,0,2,0,0,0,4,1
2dpf,329.46,0,1.67,14.18,3.34,6.67,1.67,1.67,7.51
3dpf,162.05,0.57,0.57,5.17,0,6.9,0,0,1.15
5dpf,155.57,1.03,1.03,14.47,0,8.79,1.03,1.55,6.72
10dpf,87.23,0.63,0,8.79,0,4.39,0,0.63,1.88
