stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
10hpf,0,0,0,0,0,0,0,0,113.55
12hpf,0,0,0,0,0,0,0,0,5.78
14hpf,0,0,0,0,0,0,0,0,367.82
16hpf,0,0,0,0,0,0,0,0,22.56
19hpf,0,0,0,0,0,0,0,0,516.65
24hpf,0,0,0,0,0,0,0,0,25
2dpf,13.35,1.67,0,1.67,3.34,3.34,0.83,1.67,276.08
3dpf,21.84,10.92,0,1.72,0.57,2.87,0.57,0,93.09
5dpf,19.12,6.2,1.55,4.65,1.55,4.65,0.52,1.55,247.04
10dpf,26.36,6.28,0.63,2.51,0,1.26,0.63,1.26,72.79
