stage,central_nervous_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest
24hpf,1,0,0,0,0
2dpf,7.51,0.83,0.83,2.5,0
3dpf,4.02,0,0,1.15,0
5dpf,3.1,0,0,0.52,0.52
10dpf,1.26,0,0,0.63,0
