stage,central_nervous_system,endoderm,intermediate_mesoderm,mesenchyme,paraxial_mesoderm,periderm
19hpf,0,0,2.19,0,0,0
3dpf,17.24,0,0,0,0,0.57
5dpf,0,2.07,0.52,4.13,0,2.07
10dpf,6.28,6.9,0,1.26,0.63,0.63
