stage,central_nervous_system,lateral_mesoderm,mesenchyme,notochord,periderm
2dpf,0,0.83,5,0,0
3dpf,1.72,0,2.87,0,0
5dpf,0.52,0,3.1,1.03,1.03
10dpf,1.26,0,1.88,0,0.63
