stage,central_nervous_system,intermediate_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
24hpf,0,0,0,0,0,0,1
2dpf,0,0,0,0,0,0,10.84
3dpf,4.6,0.57,1.15,0.57,0,0.57,38.5
5dpf,2.58,0,1.55,4.13,20.67,0,228.44
10dpf,10.67,0.63,0,1.26,0,0.63,47.06
