stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,notochord,paraxial_mesoderm,periderm
10hpf,30.97,0,0,0,0,0,0,0,20.65
12hpf,0,0,0,0,0,0,0,0,11.57
14hpf,117.04,0,0,0,0,20.06,0,0,50.16
16hpf,49.22,0,0,0,0,4.1,0,0,22.56
19hpf,74.43,0,0,6.57,0,2.19,0,0,13.14
24hpf,12,0,0,0,0,0,0,0,0
2dpf,79.24,0.83,2.5,21.69,2.5,6.67,0,2.5,14.18
3dpf,60.91,0.57,1.15,12.07,0,5.75,0,0,4.6
5dpf,100.26,0,1.03,37.73,0.52,10.34,0.52,1.03,6.72
10dpf,79.07,1.26,0,25.73,0,8.79,0,0.63,2.51
