stage,central_nervous_system,hematopoietic_system,intermediate_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
24hpf,1,0,0,0,0,0,0,0
2dpf,3.34,0,0.83,3.34,0.83,0,0.83,0
3dpf,12.07,0,0,2.87,1.72,0,0.57,0
5dpf,1.55,1.03,1.55,4.65,0,0.52,2.07,4.13
10dpf,6.28,0,0,3.77,0,0,1.26,1.26
