stage,central_nervous_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,periderm
16hpf,0,0,0,0,0,2.05
19hpf,0,0,0,0,0,6.57
24hpf,0,0,0,0,0,2
2dpf,0.83,2.5,0.83,5.84,1.67,1.67
3dpf,6.9,0.57,0,10.92,0,0
5dpf,10.34,3.62,0.52,12.4,0.52,3.1
10dpf,5.02,2.51,0,10.04,0,0.63
