stage,central_nervous_system,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme
2dpf,2.5,0,0,0.83,0
3dpf,6.9,0,0.57,0,2.3
5dpf,6.72,0,1.55,0,2.58
10dpf,5.65,0.63,0,0,0.63
