stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,periderm
2dpf,0,0,0,0.83,0
3dpf,2.87,0.57,0,0,0
5dpf,0,0,0,0.52,52.72
10dpf,4.39,0,0.63,0,9.41
