stage,central_nervous_system,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,paraxial_mesoderm,periderm
24hpf,0,0,0,0,0,0,1
2dpf,4.17,0.83,1.67,2.5,5.84,1.67,5.84
3dpf,4.02,0,0,0.57,2.87,0,1.15
5dpf,1.03,0,0,0,2.07,0.52,3.62
10dpf,0.63,0.63,0,0,0.63,0.63,0.63
