stage,hematopoietic_system,lateral_mesoderm,mesenchyme,periderm
2dpf,0,0,1.67,0
3dpf,0,0,6.9,0
5dpf,1.03,0.52,3.1,0.52
10dpf,5.02,0,1.26,0
