stage,central_nervous_system,hematopoietic_system,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
16hpf,0,0,0,0,0,0,2.05
2dpf,0.83,0,5,3.34,6.67,0.83,1.67
3dpf,35.05,0,1.72,1.72,0,0.57,0.57
5dpf,0,1.03,1.03,4.65,0.52,0.52,8.27
10dpf,18.83,0,0.63,0.63,0.63,0,0.63
