stage,central_nervous_system,hematopoietic_system,intermediate_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm
3dpf,0,0,0,0.57,0,0
5dpf,1.55,8.27,0.52,1.03,0.52,0.52
10dpf,0,0.63,0,0,0,0
