stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,mesenchyme,notochord
2dpf,0,0,0.83,1.67,0,0
3dpf,0,2.87,0.57,0.57,0,0
5dpf,0.52,2.58,5.69,2.58,1.03,0.52
10dpf,0.63,3.77,0.63,8.16,0,0
