stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest
2dpf,0,0,0,0,0,0,4.17
3dpf,0,0,0,0,0,0.57,0
5dpf,0,0.52,0,0,0,0,0
10dpf,1.26,0.63,0.63,1.26,0.63,1.26,1.26
