stage,endoderm,hematopoietic_system,intermediate_mesoderm,mesenchyme,periderm
3dpf,0,0,0,0,0.57
5dpf,0,0.52,0,1.03,5.17
10dpf,0.63,1.26,0.63,0,4.39
