stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
10hpf,20.65,0,0,0,0,0,0,0,0
12hpf,26.99,0,0,0,0,0,0,0,0
14hpf,30.09,0,0,3.34,0,0,0,0,0
16hpf,61.52,0,0,24.61,0,0,0,0,2.05
19hpf,26.27,0,0,15.32,0,0,0,0,0
24hpf,19,0,0,0,0,0,0,3,1
2dpf,175.16,0,0.83,9.17,12.51,25.02,5,5,10.01
3dpf,127.57,0,0.57,3.45,1.72,25.28,0,0.57,1.15
5dpf,68.22,0.52,2.07,9.3,0.52,12.92,0.52,0.52,10.85
10dpf,69.03,0,3.14,3.77,0,11.3,2.51,0,1.26
