stage,central_nervous_system,endoderm,intermediate_mesoderm,mesenchyme,notochord,paraxial_mesoderm,periderm
3dpf,0,0,0,0,0,0,1.72
5dpf,0.52,0,0.52,0.52,0.52,1.03,14.99
10dpf,2.51,2.51,0,0,0,0,16.94
