stage,central_nervous_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,paraxial_mesoderm
24hpf,0,8,0,0,0
2dpf,0.83,56.72,0.83,1.67,5
3dpf,3.45,15.52,0,0.57,0.57
5dpf,1.03,47.03,3.1,1.03,5.17
10dpf,2.51,22.59,0.63,0.63,0.63
