stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,periderm
19hpf,0,0,0,0,0,0,0,0,2.19
24hpf,1,0,0,0,0,0,0,0,36
2dpf,0,0,0,0.83,0.83,0.83,0.83,0,1.67
3dpf,0,1.15,0,0,0,1.15,0.57,0,12.07
5dpf,1.03,0,2.07,1.03,0,5.17,0,0.52,13.44
10dpf,0,0.63,0,0,0,0.63,0.63,0,11.92
