stage,central_nervous_system,lateral_mesoderm,mesenchyme,periderm
2dpf,0,1.67,0,0
3dpf,10.34,0,0.57,0.57
5dpf,0,0,0,4.65
10dpf,3.14,0,0.63,0.63
