stage,central_nervous_system,hematopoietic_system,paraxial_mesoderm,periderm
2dpf,0.83,0,0,0
3dpf,16.66,0,0,0.57
5dpf,1.03,0,0,0
10dpf,10.04,0.63,0.63,0
