stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,notochord,paraxial_mesoderm,periderm
10hpf,30.97,0,0,0,30.97,0,0,0,30.97
12hpf,28.92,1.93,1.93,3.86,3.86,1.93,13.49,44.34,11.57
14hpf,6.69,0,0,0,0,0,0,6.69,0
16hpf,16.41,0,20.51,4.1,4.1,0,4.1,16.41,10.25
19hpf,2.19,0,4.38,2.19,0,0,0,0,8.76
24hpf,1,1,3,0,0,1,0,5,2
2dpf,3.34,0,0.83,0,0.83,1.67,0,2.5,2.5
3dpf,6.9,0,1.15,0,0,3.45,0,0,1.15
5dpf,1.55,0,0.52,0,0,0.52,0,0,3.1
10dpf,1.88,0,0,0.63,0,0,0,0.63,1.26
