stage,central_nervous_system,endoderm,intermediate_mesoderm,mesenchyme,neural_crest,periderm
24hpf,0,0,0,0,0,1
2dpf,2.5,0,0,0,0,15.85
3dpf,4.6,0,0,0.57,0,12.07
5dpf,0.52,0.52,0.52,0.52,0.52,7.24
10dpf,8.16,0,0,1.26,0,13.18
